training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
12.596989,-12.554012,427.50873,274.32962,0.8031504,-12.607056,0.68353397,1.0,138.19766,0.74017334,-4.750527,0.06233377,1.0,0.042572852,-15.180816,-24.378557,0.27389508,254.67645,0.6840902,-12.934259,0.7489751,1.0,159.34262,0.83662933,-4.771497,0.0707217,1.0,-0.055313665,-15.430603,-24.361332,0.2591794,0.07505871963500976,375.29360842704773,5000
24.305634,-29.5667,1204.2124,500.3752,1.5316405,-11.949977,0.5521183,1.0,117.70364,0.7380361,-4.7222495,0.05102269,1.0,0.11053778,-18.57671,-41.94886,0.7362368,547.5879,1.7103679,-11.914083,0.5449396,1.0,147.19592,0.7933488,-4.784579,0.07595451,1.0,0.10752022,-19.095362,-41.987473,0.7099796,0.040016538000106815,575.3763086795807,10000
31.642395,-26.309603,795.2236,582.8154,1.4570959,-11.506306,0.46338415,1.0,129.80104,0.69975376,-4.7304797,0.0543148,1.0,0.18283594,-23.315504,-54.730766,1.4192355,578.1277,1.3305058,-11.722834,0.5066896,1.0,141.98434,0.7431391,-4.7329903,0.055319168,1.0,0.23850562,-23.956636,-53.698666,1.1481175,0.04011336007118225,775.943119764328,15000
121.665924,-97.7728,2281.8413,568.27216,1.5633731,-11.339513,0.43002543,1.0,145.81412,0.82268876,-4.7602825,0.06623598,1.0,0.07436763,-25.330256,-56.17472,2.3961983,589.3187,1.1038156,-11.316879,0.42549887,1.0,144.8632,0.8296509,-4.71925,0.049823064,1.0,0.00039408542,-23.687603,-57.734383,0.9946501,0.04003010940551758,976.0936770439148,20000
70.35181,-50.094193,2646.9805,612.88824,1.7267139,-11.32186,0.42649513,1.0,136.05136,0.71367866,-4.7460113,0.06052747,1.0,0.23427427,-26.42185,-61.67839,2.135065,588.4529,1.0152216,-11.556673,0.47345763,1.0,151.34,0.79772335,-4.724408,0.05188632,1.0,0.1326483,-24.863995,-61.967537,2.6454077,0.0400576762676239,1176.3820707798004,25000
60.245987,-49.92251,1547.7678,581.0988,1.3568363,-11.444172,0.45095745,1.0,146.91647,0.7967965,-4.730306,0.05424538,1.0,0.08318362,-25.828356,-62.52195,1.8325621,599.16547,1.4864174,-11.030386,0.36820027,1.0,166.0477,0.8667799,-4.705822,0.04445196,1.0,0.119772315,-25.901068,-62.698093,1.5047138,0.03994235372543335,1376.093849182129,30000
63.600533,-81.902145,1822.0717,621.0601,1.837631,-11.336838,0.42949066,1.0,169.07834,0.85099614,-4.7441406,0.059779175,1.0,0.030299503,-26.999989,-66.90557,1.6803844,604.9385,1.0767376,-11.346422,0.43140742,1.0,155.21324,0.8524733,-4.73687,0.056871053,1.0,0.10195927,-28.424309,-63.33616,2.1708822,0.04009030609130859,1576.545389175415,35000
19.172474,-14.7159,758.98267,584.5672,1.2936426,-11.011917,0.36450633,1.0,142.4013,0.8299088,-4.7281017,0.053363737,1.0,0.1285122,-28.44775,-64.706665,1.4325516,645.17395,2.1712487,-10.890789,0.34028077,1.0,159.44705,0.79509056,-4.734836,0.05605743,1.0,0.12111448,-27.864555,-64.0645,2.281814,0.04005514178276062,1776.821110010147,40000
43.433353,-43.187653,1607.6619,603.78186,1.3646655,-10.914462,0.34501547,1.0,160.7088,0.97517616,-4.709485,0.04591713,1.0,0.058559474,-27.29061,-62.22117,1.8987503,623.801,1.4776964,-10.810753,0.32427356,1.0,139.92767,0.7971553,-4.719208,0.04980601,1.0,0.084380925,-25.516537,-68.36406,1.9730119,0.039944781398773194,1976.5450286865234,45000
45.357224,-37.6,1213.0697,625.02106,1.4243065,-11.007236,0.36356997,1.0,136.64694,0.82912815,-4.715589,0.048358474,1.0,0.010895122,-26.168747,-68.925,3.383958,645.2198,1.7295526,-10.735005,0.309124,1.0,130.84625,0.70636463,-4.7148786,0.048074257,1.0,0.047012724,-26.811827,-67.325066,1.4600879,0.04001033458709717,2176.5967161655426,50000
